Identifier,StructureData,Polymer EntityData,,,
Entry ID,Stucture Keywords,Entity Polymer Type,Asym ID,Source Organism,
"1A9L","RNA","RNA","A"
"1AJF","RNA","RNA","A","synthetic construct"
"1AQ3","Virus/RNA","RNA","A"
,,,"B"
,,"Protein","C","Escherichia phage MS2"
,,,"D"
,,,"E"
"1AQ4","Virus/RNA","RNA","A","Escherichia phage MS2"
,,,"B"
,,"Protein","D","Escherichia phage MS2"
,,,"E"
,,,"C"
"1AUD","RNA BINDING PROTEIN/RNA","RNA","A"
,,"Protein","B","Homo sapiens"
"1BVJ","RNA","RNA","A","Human immunodeficiency virus type 1 (MAL ISOLATE)"
"1BYJ","RNA","RNA","A"
"1C0O","RNA","RNA","A","Tetrahymena thermophila"
"1CQ5","RNA","RNA","A","Escherichia coli"
"1CQL","RNA","RNA","A","Escherichia coli"
"1D6K","RIBOSOME","RNA","A"
,,"Protein","B","Escherichia coli"
"1DK1","RIBOSOME","RNA","A","Thermus thermophilus"
,,"Protein","B","Thermus thermophilus"
"1DUL","SIGNALING PROTEIN/RNA","RNA","A","synthetic construct"
,,"Protein","B","Escherichia coli"
"1E4P","RNA RIBOZYME","RNA","A","Neurospora"
"1EBS","RNA","RNA","A"
"1EHT","RNA","RNA","A"
"1EKZ","cell cycle/RNA","RNA","A"
,,"Protein","B","Drosophila melanogaster"
"1ESY","RNA","RNA","A"
"1F7Y","RIBOSOME","RNA","A"
,,"Protein","B","Thermus thermophilus"
"1F9L","RNA","RNA","A"
"1FFK","RIBOSOME","RNA","A","Haloarcula marismortui"
,,"RNA","B","Haloarcula marismortui"
,,"Protein","C","Haloarcula marismortui"
,,"Protein","D","Haloarcula marismortui"
,,"Protein","F","Haloarcula marismortui"
,,"Protein","G","Haloarcula marismortui"
,,"Protein","H","Haloarcula marismortui"
,,"Protein","I","Haloarcula marismortui"
,,"Protein","J","Haloarcula marismortui"
,,"Protein","K","Haloarcula marismortui"
,,"Protein","L","Haloarcula marismortui"
,,"Protein","M","Haloarcula marismortui"
,,"Protein","N","Haloarcula marismortui"
,,"Protein","O","Haloarcula marismortui"
,,"Protein","P","Haloarcula marismortui"
,,"Protein","Q","Haloarcula marismortui"
,,"Protein","R","Haloarcula marismortui"
,,"Protein","S","Haloarcula marismortui"
,,"Protein","T","Haloarcula marismortui"
,,"Protein","U","Haloarcula marismortui"
,,"Protein","V","Haloarcula marismortui"
,,"Protein","W","Haloarcula marismortui"
,,"Protein","X","Haloarcula marismortui"
,,"Protein","Y","Haloarcula marismortui"
,,"Protein","Z","Haloarcula marismortui"
,,"Protein","AA","Haloarcula marismortui"
,,"Protein","BA","Haloarcula marismortui"
,,"Protein","CA","Haloarcula marismortui"
,,"Protein","E","Haloarcula marismortui"
"1FFZ","RIBOSOME","RNA","A","Haloarcula marismortui"
,,"NA-hybrid","B"
"1FG0","RIBOSOME","RNA","A","Haloarcula marismortui"
,,"RNA","B"
"1FHK","RNA","RNA","A"
"1FJG","RIBOSOME","RNA","A","Thermus thermophilus"
,,"RNA","B","Thermus thermophilus"
,,"Protein","C","Thermus thermophilus"
,,"Protein","D","Thermus thermophilus"
,,"Protein","E","Thermus thermophilus"
,,"Protein","F","Thermus thermophilus"
,,"Protein","G","Thermus thermophilus"
,,"Protein","H","Thermus thermophilus"
,,"Protein","I","Thermus thermophilus"
,,"Protein","J","Thermus thermophilus"
,,"Protein","K","Thermus thermophilus"
,,"Protein","L","Thermus thermophilus"
,,"Protein","M","Thermus thermophilus"
,,"Protein","N","Thermus thermophilus"
,,"Protein","O","Thermus thermophilus"
,,"Protein","P","Thermus thermophilus"
,,"Protein","Q","Thermus thermophilus"
,,"Protein","R","Thermus thermophilus"
,,"Protein","S","Thermus thermophilus"
,,"Protein","T","Thermus thermophilus"
,,"Protein","U","Thermus thermophilus"
,,"Protein","V","Thermus thermophilus"
"1FKA","RIBOSOME","RNA","A","Thermus thermophilus"
,,"Protein","B","Thermus thermophilus"
,,"Protein","C","Thermus thermophilus"
,,"Protein","D","Thermus thermophilus"
,,"Protein","E","Thermus thermophilus"
,,"Protein","F","Thermus thermophilus"
,,"Protein","G","Thermus thermophilus"
,,"Protein","H","Thermus thermophilus"
,,"Protein","I","Thermus thermophilus"
,,"Protein","J","Thermus thermophilus"
,,"Protein","K","Thermus thermophilus"
,,"Protein","M","Thermus thermophilus"
,,"Protein","N","Thermus thermophilus"
,,"Protein","O","Thermus thermophilus"
,,"Protein","P","Thermus thermophilus"
,,"Protein","Q","Thermus thermophilus"
,,"Protein","R","Thermus thermophilus"
,,"Protein","S","Thermus thermophilus"
,,"Protein","T","Thermus thermophilus"
,,"Protein","L","Thermus thermophilus"
"1FMN","RNA","RNA","A"
"1FYO","RNA","RNA","A"
"1FYP","RNA","RNA","A"
"1G1X","RIBOSOME","RNA","C"
,,,"A"
,,"RNA","B"
,,,"D"
,,"Protein","E","Thermus thermophilus"
,,,"H"
,,"Protein","F","Thermus thermophilus"
,,,"I"
